product_id,product_name,category,price,stock_quantity,description,is_available
1,Laptop Pro 15",Electronics,1299.99,45,"High-performance laptop with 16GB RAM",true
2,Wireless Mouse,Electronics,29.99,200,"Ergonomic wireless mouse with USB receiver",true
3,USB-C Cable 2m,Electronics,12.99,500,"Durable USB-C charging cable",true
4,Bluetooth Headphones,Electronics,89.99,120,"Noise-cancelling over-ear headphones",true
5,4K Monitor 27",Electronics,399.99,30,"Ultra HD monitor with HDR support",true
6,Mechanical Keyboard,Electronics,149.99,80,"RGB backlit mechanical gaming keyboard",true
7,Python Programming Book,Books,49.99,60,"Comprehensive guide to Python",true
8,SQL for Data Science,Books,39.99,75,"Learn SQL for data analysis",true
9,Office Chair,Furniture,249.99,25,"Ergonomic office chair with lumbar support",true
10,Yoga Mat,Sports,24.99,80,"Non-slip exercise yoga mat",true
